GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-service,com.example.retailplatform.user,UserServiceApplication,5,3,0,0,2,1,1,1,1,1
user-service,com.example.retailplatform.user.domain.model,Role,4,27,0,0,1,5,1,1,1,1
user-service,com.example.retailplatform.user.domain.model,Status,0,27,0,0,0,5,0,1,0,1
user-service,com.example.retailplatform.user.domain,UserConstants,3,0,0,0,1,0,1,0,1,0
user-service,com.example.retailplatform.user.application.service,UserService,33,470,5,37,5,61,8,33,3,17
user-service,com.example.retailplatform.user.util,MdcUtil,29,0,0,0,12,0,5,0,5,0
user-service,com.example.retailplatform.user.config,OpenApiConfig,0,38,0,0,0,12,0,2,0,2
user-service,com.example.retailplatform.user.config,AsyncConfig.new Executor() {...},15,0,0,0,3,0,2,0,2,0
user-service,com.example.retailplatform.user.config,I18nConfig,0,28,0,0,0,9,0,3,0,3
user-service,com.example.retailplatform.user.config,AsyncConfig,33,3,0,0,10,1,3,1,3,1
user-service,com.example.retailplatform.user.adapter.in.web.dto,UserDtoMapper,4,89,4,8,0,24,4,5,0,3
user-service,com.example.retailplatform.user.adapter.in.web,UserModelAssembler,0,33,0,0,0,4,0,2,0,2
user-service,com.example.retailplatform.user.adapter.in.web,RequestResponseLoggingFilter,9,204,6,14,2,52,6,12,1,7
user-service,com.example.retailplatform.user.adapter.in.web,UserController,0,127,0,0,0,23,0,6,0,6
user-service,com.example.retailplatform.user.adapter.in.web,LoadUserDatabase,82,45,0,0,14,10,6,5,6,5
user-service,com.example.retailplatform.user.common,ErrorResponse,11,9,2,2,2,1,2,2,1,1
user-service,com.example.retailplatform.user.common,GlobalExceptionHandler,89,133,4,2,13,37,7,7,4,7
user-service,com.example.retailplatform.user.common,ErrorResponse.ErrorResponseBuilder,0,12,0,2,0,2,0,2,0,1
user-service,com.example.retailplatform.user.domain.exception,ResourceAlreadyExistsException,9,9,0,0,4,4,1,1,1,1
user-service,com.example.retailplatform.user.domain.exception,ResourceNotFoundException,6,6,0,0,3,3,1,1,1,1
user-service,com.example.retailplatform.user.adapter.out.persistence,UserEntity,3,41,3,3,0,14,3,3,0,3
user-service,com.example.retailplatform.user.adapter.out.persistence,UserEntityMapper,26,146,16,16,4,36,16,4,0,4
user-service,com.example.retailplatform.user.adapter.out.persistence,UserRepositoryAdapter,29,135,0,0,5,27,2,12,2,12
